p_old	p_young	t_young_kya	t_old_kya	delta_kya	noem_old_precision	noem_old_recall	noem_old_f1	noem_young_precision	noem_young_recall	noem_young_f1	em_old_precision	em_old_recall	em_old_f1	em_young_precision	em_young_recall	em_young_f1	learned_lambda_n	learned_lambda_af	learned_lambda_old	learned_lambda_young	summary_json	out_dir
0.2	0.2	35000	50000	15000	0.4865	0.7809	0.5995	0.7174	0.3968	0.5109	0.6317	0.2655	0.3739	0.6151	0.8839	0.7254	0.9074348456668536	0.09464949093312577	0.08048798942504197	0.03273924097915545	grid_runs/pold_0.2_pyoung_0.2_told_50000k_tyoung_35000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_50000k_tyoung_35000k
0.2	0.2	40000	55000	15000	0.5109	0.7547	0.6093	0.7378	0.4839	0.5845	0.6368	0.2504	0.3595	0.6195	0.8877	0.7297	0.8990186833420075	0.09644597138180018	0.09458248829636876	0.03482445826950201	grid_runs/pold_0.2_pyoung_0.2_told_55000k_tyoung_40000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_55000k_tyoung_40000k
0.2	0.2	45000	60000	15000	0.5221	0.7527	0.6165	0.7061	0.4193	0.5261	0.6473	0.2985	0.4086	0.6011	0.8563	0.7063	0.9073017173428798	0.09516668015904114	0.09643005336166792	0.03942028789491583	grid_runs/pold_0.2_pyoung_0.2_told_60000k_tyoung_45000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_60000k_tyoung_45000k
0.2	0.2	30000	50000	20000	0.5147	0.8753	0.6482	0.7584	0.3046	0.4346	0.618	0.4249	0.5036	0.6109	0.7778	0.6843	0.9068292224157669	0.09551075207944398	0.07351275653726141	0.02976250117087364	grid_runs/pold_0.2_pyoung_0.2_told_50000k_tyoung_30000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_50000k_tyoung_30000k
0.2	0.2	35000	55000	20000	0.5126	0.8373	0.6359	0.7784	0.4059	0.5335	0.6541	0.392	0.4902	0.6446	0.8422	0.7303	0.9024484569635087	0.0951207905714585	0.07890607037152647	0.032905178719444456	grid_runs/pold_0.2_pyoung_0.2_told_55000k_tyoung_35000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_55000k_tyoung_35000k
0.2	0.2	40000	60000	20000	0.5151	0.7685	0.6168	0.7814	0.4843	0.598	0.6485	0.3183	0.427	0.6524	0.8716	0.7462	0.9013570346450012	0.09712817280403818	0.09103184903418085	0.03455040317704246	grid_runs/pold_0.2_pyoung_0.2_told_60000k_tyoung_40000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_60000k_tyoung_40000k
0.2	0.3	30000	35000	5000	0.3231	0.2384	0.2744	0.6809	0.765	0.7205	0.3147	0.0682	0.1121	0.6787	0.9253	0.783	0.867432424052177	0.09517769921308088	0.08603428769890822	0.031214487538559755	grid_runs/pold_0.2_pyoung_0.3_told_35000k_tyoung_30000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_35000k_tyoung_30000k
0.2	0.3	35000	40000	5000	0.3707	0.1042	0.1627	0.6692	0.9079	0.7705	0.3804	0.146	0.211	0.6728	0.8798	0.7625	0.8667320664957479	0.0965374942600366	0.07421251039865585	0.030415249588161032	grid_runs/pold_0.2_pyoung_0.3_told_40000k_tyoung_35000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_40000k_tyoung_35000k
0.2	0.3	40000	45000	5000	0.3333	0.0688	0.114	0.7067	0.9374	0.8059	0.3605	0.1106	0.1692	0.7111	0.9125	0.7993	0.8632618160631198	0.09687222863960122	0.08676214881032596	0.03306778314890014	grid_runs/pold_0.2_pyoung_0.3_told_45000k_tyoung_40000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_45000k_tyoung_40000k
0.2	0.3	45000	50000	5000	0.3856	0.0747	0.1252	0.6846	0.938	0.7915	0.4267	0.124	0.1922	0.692	0.9156	0.7883	0.8680538931684738	0.09644447440835882	0.10644809734414411	0.03962893119897113	grid_runs/pold_0.2_pyoung_0.3_told_50000k_tyoung_45000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_50000k_tyoung_45000k
